global_prod_id,product_name
P0219,موبيراكس 2% مرهم 10جم  س ج/جلوبال نابى
P0220,اسبرين 81(اسبريكارلو)30ق مضغ س ج/العامرية
P0221,بريزولين  قطرة(عادية) 15مل س ج/القاهرة
P0222,ايموكسكلاف 625مج 10ق/ابيكو
P0223,انافرونيل 75مج اس ار 20ق  س ق/نوفارتس
P0224,اولابكس 10مج 30ق/ابيكس
P0225,بيتافوس 1أمبول س ج/امون
P0226,تلفاست دى 60/120مج 10 ق/سانوفي افنتس
P0227,بلاكونيل 200مج 60ق س ج/سانوفي افنتس
P0228,دنتينوكس نقط بالفم 100مل س ج/انتر فارم تاريخ 11/26
P0229,محلول ملح الفتح
P0230,اوبلونج نوفالجين 500مج 10ق/سانوفي
P0231,ادول (عادى) 500مج 24ق س ج/جلفار
P0232,نورجيسيك 20ق  س ج/ابيكو
P0233,ميوكوستا 100مج 20ق س ق/اوتسوكا
P0234,بون وان 0.25مكجم 30ق س ج/مينا فارم
P0235,كلاريتين 10مج 20ق س ج/سيديكو
P0236,سبازموديجستين 30ق س ج/فاركو
P0237,اكسيدوجاست 40مجم 20ك
P0238,اوميجاسيف30كبسولة س ج/سيف فارما
P0239,ناتريليكس اس ار 1.5مج 30ق س ق/سيرفييه
P0240,اريبيبرازول 1م 120مل شراب س ج/انسباير فارم
P0241,سيبروفلوكساسين 500مج 10ق س ج/العامرية
P0242,محلول ملح جيبكو %9
P0243,فاكتو  8أقماع  س ج/ايه يو جي
P0244,كونجيستال اقراص 2 شريط س ج/سيجما
P0245,نيتروماك ريتارد 2.5مج 60ك  س ق/اكتوبر
P0246,ستربسلس عسل وليمون
P0247,استربسلز كول
P0248,ابروفيل 150مج 14ق  س ق/سانوفى افنتس
P0249,اوبلكس ان لبوس
P0250,نوفا سى ان 20ق/النيل
P0251,بيستول 5مج (عادى) 20ق  س ق/حكمة
P0252,اريثركس 200مج 20ك س ج/امون
P0253,سيفوتاكس 1جم 1فيال س ق/ابيكو
P0254,نيوريماكس 30ك س ج/كيميفارم
P0255,ايزوتريتينوين20مج 3 شرايط/رانبكسى
P0256,سيتال شراب60مل  س ق/ابيكو
P0257,موبيتيل 3امبول 15 مج /1.5مل س ج /المهن
P0258,دولفين 3امبول /دلتا فارم
P0259,سيلجون أقماع 10مج 6أقماع  س ج/ثلاجة/ابيكو
P0260,انماكس حقنة شرجية 120مل س ق/امون
